Date,Close,High,Low,Open,Volume
2016-03-07,1574400000.0,1625600000.0,1542400000.0,1542400000.0,0
2016-03-08,1478400000.0,1651200000.0,1427200000.0,1574400000.0,0
2016-03-09,1472000000.0,1523200000.0,1408000000.0,1484800000.0,0
2016-03-10,1465600000.0,1523200000.0,1446400000.0,1478400000.0,0
2016-03-11,1472000000.0,1523200000.0,1446400000.0,1484800000.0,0
2016-03-14,1587200000.0,1625600000.0,1497600000.0,1497600000.0,0
2016-03-15,1452800000.0,1593600000.0,1408000000.0,1580800000.0,0
2016-03-16,1465600000.0,1491200000.0,1408000000.0,1446400000.0,0
2016-03-17,1465600000.0,1568000000.0,1420800000.0,1536000000.0,0
2016-03-18,1523200000.0,1542400000.0,1459200000.0,1478400000.0,0
2016-03-21,1548800000.0,1593600000.0,1491200000.0,1510400000.0,0
2016-03-22,1587200000.0,1593600000.0,1516800000.0,1555200000.0,0
2016-03-23,1510400000.0,1587200000.0,1452800000.0,1574400000.0,0
2016-03-24,1580800000.0,1593600000.0,1472000000.0,1497600000.0,0
2016-03-28,1548800000.0,1600000000.0,1516800000.0,1580800000.0,0
2016-03-29,1542400000.0,1561600000.0,1408000000.0,1536000000.0,0
2016-03-30,1548800000.0,1600000000.0,1504000000.0,1561600000.0,0
2016-03-31,1542400000.0,1587200000.0,1536000000.0,1542400000.0,0
2016-04-01,1600000000.0,1721600000.0,1491200000.0,1536000000.0,0
2016-04-04,1728000000.0,1868800000.0,1606400000.0,1606400000.0,0
2016-04-05,1625600000.0,1792000000.0,1574400000.0,1792000000.0,0
2016-04-06,1728000000.0,1734400000.0,1484800000.0,1612800000.0,0
2016-04-07,1619200000.0,1740800000.0,1568000000.0,1728000000.0,0
2016-04-08,1644800000.0,1721600000.0,1606400000.0,1644800000.0,0
2016-04-11,1619200000.0,1702400000.0,1600000000.0,1644800000.0,0
2016-04-12,1580800000.0,1651200000.0,1542400000.0,1625600000.0,0
2016-04-13,1612800000.0,1638400000.0,1568000000.0,1593600000.0,0
2016-04-14,1740800000.0,1798400000.0,1593600000.0,1612800000.0,0
2016-04-15,1798400000.0,1824000000.0,1708800000.0,1740800000.0,0
2016-04-18,1824000000.0,1843200000.0,1766400000.0,1772800000.0,0
2016-04-19,1824000000.0,1868800000.0,1766400000.0,1849600000.0,0
2016-04-20,1785600000.0,1856000000.0,1772800000.0,1824000000.0,0
2016-04-21,1811200000.0,1836800000.0,1785600000.0,1798400000.0,0
2016-04-22,1811200000.0,1843200000.0,1792000000.0,1804800000.0,0
2016-04-25,1830400000.0,1862400000.0,1779200000.0,1843200000.0,0
2016-04-26,1766400000.0,1856000000.0,1702400000.0,1856000000.0,0
2016-04-27,1689600000.0,1811200000.0,1689600000.0,1760000000.0,0
2016-04-28,1728000000.0,1766400000.0,1612800000.0,1696000000.0,0
2016-04-29,1612800000.0,1721600000.0,1568000000.0,1715200000.0,0
2016-05-02,1619200000.0,1715200000.0,1555200000.0,1702400000.0,0
2016-05-03,1625600000.0,1689600000.0,1606400000.0,1619200000.0,0
2016-05-04,1523200000.0,1606400000.0,1497600000.0,1600000000.0,0
2016-05-05,1478400000.0,1587200000.0,1459200000.0,1523200000.0,0
2016-05-06,1241600000.0,1504000000.0,1184000000.0,1478400000.0,0
2016-05-09,1388800000.0,1427200000.0,1248000000.0,1248000000.0,0
2016-05-10,1401600000.0,1484800000.0,1376000000.0,1395200000.0,0
2016-05-11,1452800000.0,1452800000.0,1388800000.0,1420800000.0,0
2016-05-12,1491200000.0,1516800000.0,1452800000.0,1478400000.0,0
2016-05-13,1683200000.0,1715200000.0,1491200000.0,1504000000.0,0
2016-05-16,1753600000.0,1760000000.0,1632000000.0,1696000000.0,0
2016-05-17,1830400000.0,1862400000.0,1702400000.0,1779200000.0,0
2016-05-18,1856000000.0,2003200000.0,1830400000.0,1830400000.0,0
2016-05-19,1580800000.0,2412800000.0,1536000000.0,2323200000.0,0
2016-05-20,1491200000.0,1760000000.0,1440000000.0,1728000000.0,0
2016-05-23,1516800000.0,1632000000.0,1497600000.0,1497600000.0,0
2016-05-24,1446400000.0,1536000000.0,1414400000.0,1536000000.0,0
2016-05-25,1440000000.0,1504000000.0,1420800000.0,1465600000.0,0
2016-05-26,1504000000.0,1536000000.0,1420800000.0,1497600000.0,0
2016-05-27,1465600000.0,1523200000.0,1440000000.0,1504000000.0,0
2016-05-31,1561600000.0,1587200000.0,1465600000.0,1497600000.0,0
2016-06-01,1561600000.0,1593600000.0,1497600000.0,1555200000.0,0
2016-06-02,1632000000.0,1721600000.0,1587200000.0,1664000000.0,0
2016-06-03,1625600000.0,1670400000.0,1536000000.0,1619200000.0,0
2016-06-06,1811200000.0,1824000000.0,1625600000.0,1670400000.0,0
2016-06-07,1817600000.0,1888000000.0,1728000000.0,1868800000.0,0
